time,CA01MY,CA03MY,CA06MY,CA01Y,CA02Y,CA05Y,CA07Y,CA10Y,CA20Y,CA30Y
763768800,NaN,9.04,4.52,5.09000015,5.67,6.677,7.167,7.344,7.88,7.832
763855200,NaN,NaN,4.58,5.07000017,5.64,6.801,7.183,7.395,7.85,7.815
763941600,NaN,NaN,4.74,5.11000013,5.894,6.876,7.291,7.512,7.927,7.88
764287200,NaN,NaN,4.95,5.5999999,5.973,6.915,7.364,7.525,8.017,7.928
764373600,NaN,NaN,5.05,5.46000004,5.947,6.903,7.388,7.57,8.021,7.959
764460000,NaN,NaN,5.2,5.4000001,6.063,7.017,7.421,7.585,8.108,7.985
764546400,NaN,NaN,5.43,5.63000011,6.187,7.146,7.521,7.676,8.099,8.039
764892000,NaN,NaN,5.86,5.86000013,6.534,7.198,7.665,7.814,8.236,8.166
764978400,NaN,NaN,6.06,6.21000004,6.708,7.403,7.777,7.884,8.39,8.334
765064800,NaN,NaN,6.25,6.38000011,6.807,7.573,7.88,7.983,NaN,8.291
765151200,NaN,NaN,NaN,6.4000001,NaN,NaN,NaN,NaN,NaN,NaN
765579600,NaN,NaN,6.12,6.55000019,7.034,7.746,8.028,8.096,8.482,8.405
765666000,NaN,NaN,5.8,6.51999998,6.858,7.603,7.913,7.993,8.408,8.324
765752400,NaN,NaN,5.82,6.30000019,6.844,7.539,7.825,7.979,8.398,8.315
766098000,NaN,NaN,5.95,6.42999983,6.676,7.425,7.736,7.893,8.357,8.287
766184400,NaN,NaN,5.94,6.28000021,6.725,7.504,7.866,7.995,8.425,8.367
766270800,NaN,NaN,6.02,6.30999994,6.761,7.552,7.945,8.075,8.509,8.444
766357200,NaN,NaN,6.1,6.4000001,6.841,7.579,7.936,8.082,8.523,8.454
766702800,NaN,NaN,6.54,6.8499999,7.138,7.785,8.138,8.263,8.673,8.606
766789200,NaN,NaN,6.48,6.88000011,7.131,7.733,8.048,8.195,8.592,8.527
766875600,NaN,NaN,6.38,6.82000017,6.974,7.576,7.907,8.006,8.438,8.372
766962000,NaN,NaN,6.42,6.73000002,6.996,7.59,7.915,8.045,8.406,8.339
767307600,NaN,NaN,6.31,6.69999981,6.853,7.423,7.799,7.914,8.246,8.208
767394000,NaN,NaN,6.3,6.57000017,6.857,7.451,7.816,7.96,8.255,8.231
767480400,NaN,NaN,6.38,6.55000019,7.049,7.635,7.992,8.143,8.414,8.392
767566800,NaN,NaN,6.5,6.69999981,7.172,7.728,8.089,8.246,8.507,8.464
767912400,NaN,NaN,6.58,6.80999994,7.274,7.879,8.168,8.345,8.601,8.557
767998800,NaN,NaN,6.73,6.82999992,7.368,7.933,8.213,8.378,8.634,8.587
768085200,NaN,NaN,6.7,6.92000008,7.47,8.001,8.231,8.443,8.681,8.642
768171600,NaN,NaN,6.85,6.96999979,7.683,8.26,8.458,8.609,8.797,8.753
768517200,NaN,NaN,6.73,7.28999996,7.603,8.157,8.365,8.502,8.734,8.677
768603600,NaN,NaN,6.9,7.19999981,7.73,8.266,8.484,8.61,8.821,8.774
768690000,NaN,NaN,6.89,7.34000015,7.718,8.226,8.447,8.561,8.782,8.723
768776400,NaN,NaN,6.73,7.30999994,7.482,8.078,8.319,8.446,8.661,8.622
769122000,NaN,NaN,6.4,6.88999987,7.171,7.853,8.1,8.213,8.472,8.431
769208400,NaN,NaN,6.38,6.57999992,7.114,7.814,8.109,8.246,8.468,8.436
769294800,NaN,NaN,6.27,6.55999994,6.968,7.708,8.01,8.182,8.44,8.402
769381200,NaN,NaN,6.35,6.44999981,7.183,7.871,8.153,8.303,8.536,8.494
769813200,NaN,NaN,6.56,6.82999992,7.41,8.024,8.251,8.411,8.627,8.578
769899600,NaN,NaN,6.57,6.98000002,7.495,8.129,8.397,8.51,8.703,8.663
769986000,NaN,NaN,6.68,7.01999998,7.581,8.176,8.406,8.535,8.723,8.693
770331600,NaN,NaN,6.78,7.0999999,7.659,8.375,8.496,8.745,8.883,8.852
770418000,NaN,NaN,6.76,7.1500001,7.695,8.432,8.72,8.787,8.947,8.905
770504400,NaN,NaN,6.74,7.13000011,7.733,8.445,8.682,8.779,8.918,8.878
770590800,NaN,NaN,6.59,7.19000006,7.547,8.302,8.579,8.62,8.8,8.77
770936400,NaN,NaN,6.42,6.94000006,7.463,8.231,8.558,8.647,8.814,8.795
771022800,NaN,NaN,6.43,7,7.471,8.246,8.576,8.655,8.824,8.811
771109200,NaN,NaN,6.46,7,7.476,8.263,8.557,8.639,8.853,8.821
771195600,NaN,NaN,6.44,7,7.516,8.29,8.594,8.681,8.892,8.863
771541200,NaN,NaN,6.74,7.13999987,7.845,8.547,8.809,8.869,9.047,9.021
771627600,NaN,NaN,7.08,7.23000002,8.233,8.754,9.058,9.085,9.236,9.207
771714000,NaN,NaN,7.07,7.57000017,8.08,8.706,8.99,9.051,9.205,9.179
771800400,NaN,NaN,7.25,7.55000019,8.3,8.864,9.164,9.182,9.33,9.313
772146000,NaN,NaN,7.43,7.86999989,8.555,9.144,9.398,9.424,9.576,9.562
772232400,NaN,NaN,7.32,8,8.404,8.987,9.211,9.247,9.414,9.399
772318800,NaN,NaN,7.3,7.8499999,8.394,8.962,9.201,9.238,9.372,9.359
772405200,NaN,NaN,7.45,7.82000017,8.659,9.182,9.387,9.445,9.532,9.55
772750800,NaN,NaN,7.4,7.9000001,8.51,9.041,9.278,9.339,9.494,9.462
772837200,NaN,NaN,7.24,7.86000013,8.381,8.826,9.054,9.127,9.288,9.274
772923600,NaN,NaN,7.19,7.75,8.453,8.941,9.209,9.277,9.451,9.428
773010000,NaN,NaN,NaN,7.82999992,NaN,NaN,NaN,NaN,NaN,NaN
773355600,NaN,NaN,7.09,7.82999992,8.377,8.906,9.12,9.221,9.393,9.359
773442000,NaN,NaN,6.99,7.8499999,8.314,8.861,9.11,9.17,9.329,9.359
773528400,NaN,NaN,6.94,7.76000023,8.316,8.856,9.071,9.157,9.314,9.296
773614800,NaN,NaN,6.95,7.76999998,8.438,8.958,9.168,9.254,9.387,9.376
773960400,NaN,NaN,6.95,7.96000004,8.279,8.833,9.08,9.141,9.303,9.296
774046800,NaN,NaN,6.78,7.73999977,8.125,8.71,8.963,9.049,9.209,9.207
774133200,NaN,NaN,6.67,7.5,7.931,8.557,8.809,8.906,9.066,9.064
774219600,NaN,NaN,6.45,7.30000019,7.973,8.632,8.876,8.968,9.122,9.13
774565200,NaN,NaN,6.46,7.28000021,7.824,8.496,8.779,8.893,9.051,9.048
774651600,NaN,NaN,6.67,7.3499999,8.098,8.731,8.971,9.101,9.256,9.246
774738000,NaN,NaN,6.75,7.51999998,8.209,8.775,9.019,9.137,9.287,9.274
774824400,NaN,NaN,6.71,7.63000011,8.184,8.775,9.038,9.146,9.298,9.282
775170000,NaN,NaN,6.63,7.57999992,8.253,8.88,9.155,9.29,9.44,9.422
775256400,NaN,NaN,6.64,7.51999998,8.29,8.97,9.243,9.372,9.543,9.509
775342800,NaN,NaN,6.61,7.59000015,8.266,8.957,9.223,9.347,9.505,9.48
775429200,NaN,NaN,6.49,7.59000015,8.099,8.779,9.055,9.177,9.329,9.313
775861200,NaN,NaN,6.13,7.32999992,7.937,8.591,8.88,9.021,9.219,9.185
775947600,NaN,NaN,6.03,7.19999981,7.901,8.54,8.822,8.986,9.183,9.163
776034000,NaN,NaN,6.2,7.03000021,8.071,8.693,8.967,9.127,9.313,9.291
776379600,NaN,NaN,6.14,7.1500001,7.85,8.556,8.811,8.998,9.173,9.174
776466000,NaN,NaN,6.12,7.11000013,7.797,8.543,8.801,8.98,9.168,9.157
776552400,NaN,NaN,6.3,7.07999992,7.956,8.671,8.887,9.068,9.235,9.224
776638800,NaN,NaN,6.25,7.17999983,7.984,8.684,8.897,9.06,9.23,9.213
776984400,NaN,NaN,6.19,7.25,7.793,8.508,8.712,8.871,9.035,9.032
777070800,NaN,NaN,6.02,7.0999999,7.745,8.508,8.722,8.845,8.994,8.989
777157200,NaN,NaN,6.12,6.94999981,7.847,8.61,8.818,8.958,9.101,9.097
777243600,NaN,NaN,6.06,7.07999992,7.773,8.509,8.702,8.863,9.025,9.032
777589200,NaN,NaN,5.98,7.03000021,7.612,8.359,8.585,8.737,8.929,8.931
777675600,NaN,NaN,5.85,6.82999992,7.426,8.296,8.518,8.686,8.86,8.857
777762000,NaN,NaN,5.87,6.69999981,7.5,8.33,8.53,8.72,8.87,8.88
777848400,NaN,NaN,5.78,6.71000004,7.45,8.24,8.47,8.67,8.83,8.83
778194000,NaN,NaN,5.64,6.55999994,7.53,8.29,8.51,8.73,8.87,8.88
778280400,NaN,NaN,5.8,6.65999985,7.61,8.34,8.55,8.76,8.9,8.91
778366800,NaN,NaN,5.87,6.76000023,7.66,8.36,8.54,8.76,8.93,8.93
778453200,NaN,NaN,5.95,6.80999994,7.72,8.4,8.58,8.78,8.93,8.94
778885200,NaN,NaN,6.37,7.07999992,7.93,8.61,8.79,8.96,9.12,9.12
778971600,NaN,NaN,6.34,7.13000011,7.88,8.56,8.75,8.89,9.09,9.08
779058000,NaN,NaN,6.36,7.01999998,7.91,8.61,8.8,8.98,9.17,9.16
779403600,NaN,NaN,5.84,7,7.55,8.31,8.53,8.73,8.98,8.99
779490000,NaN,NaN,5.82,6.6500001,7.55,8.35,8.56,8.78,9.01,9.02
779576400,NaN,NaN,5.79,6.57000017,7.44,8.26,8.49,8.71,8.91,8.94
779662800,NaN,NaN,5.84,6.46000004,7.63,8.44,8.63,8.85,9.02,9.04
780008400,NaN,NaN,5.96,6.73000002,7.71,8.54,8.76,8.95,9.13,9.14
780094800,NaN,NaN,5.92,6.76000023,7.73,8.63,8.84,9.04,9.21,9.22
780181200,NaN,NaN,5.83,6.75,7.66,8.52,8.77,8.96,9.14,9.15
780267600,NaN,NaN,5.77,6.75,7.6,8.51,8.75,8.94,9.13,9.14
780613200,NaN,NaN,5.75,6.71999979,7.56,8.5,8.77,8.97,9.17,9.17
780699600,NaN,NaN,5.7,6.69999981,7.48,8.37,8.66,8.87,9.08,9.1
780786000,NaN,NaN,5.75,6.59000015,7.51,8.4,8.67,8.9,9.1,9.11
780872400,NaN,NaN,5.76,6.63999987,7.48,8.43,8.6,8.82,9.04,9.06
781218000,NaN,NaN,5.88,6.61999989,7.56,8.44,8.7,8.91,9.11,9.12
781304400,NaN,NaN,6,6.63999987,7.74,8.6,8.87,9.07,9.25,9.28
781390800,NaN,NaN,6.08,6.76999998,7.83,8.62,8.9,9.1,9.31,9.31
781477200,NaN,NaN,6.05,6.84000015,7.68,8.56,8.82,9.02,9.24,9.19
781909200,NaN,NaN,6.06,6.80999994,7.67,8.53,8.79,9,9.22,9.24
781995600,NaN,NaN,6.05,6.88000011,7.65,8.51,8.77,8.99,9.2,9.22
782082000,NaN,NaN,6.04,6.86000013,7.65,8.5,8.77,8.97,9.22,9.24
782427600,NaN,NaN,5.97,6.82999992,7.61,8.54,8.83,9.06,9.3,9.32
782514000,NaN,NaN,5.93,6.75,7.57,8.52,8.83,9.06,9.3,9.32
782600400,NaN,NaN,6,6.73999977,7.71,8.61,8.9,9.15,9.36,9.39
782686800,NaN,NaN,5.96,6.80999994,7.63,8.51,8.81,9.05,9.29,9.31
783032400,NaN,NaN,6.04,6.86999989,7.6,8.54,8.84,9.11,9.33,9.35
783118800,NaN,NaN,6.05,6.86000013,7.64,8.55,8.84,9.12,9.34,9.36
783205200,NaN,NaN,6.05,6.88000011,7.64,8.56,8.83,9.11,9.31,9.34
783291600,NaN,NaN,6.02,6.86999989,7.61,8.49,8.79,9.04,9.27,9.29
783640800,NaN,NaN,6.09,6.82999992,7.75,8.63,8.88,9.18,9.38,9.4
783727200,NaN,NaN,6.1,6.9000001,7.74,8.65,8.92,9.2,9.4,9.44
783813600,NaN,NaN,6.14,6.9000001,7.77,8.68,8.92,9.18,9.4,9.43
783900000,NaN,NaN,6.16,6.96000004,7.8,8.75,8.96,9.23,9.43,9.46
784245600,NaN,NaN,6.21,7.09000015,7.78,8.69,8.92,9.17,9.38,9.4
784332000,NaN,NaN,6.21,7.09000015,7.74,8.68,8.89,9.16,9.35,9.38
784418400,NaN,NaN,6.24,7.05000019,7.74,8.71,8.91,9.18,9.36,9.39
784504800,NaN,NaN,6.25,7.05000019,7.78,8.76,8.94,9.21,9.42,9.43
784850400,NaN,NaN,6.26,6.98999977,7.71,8.55,8.75,9.03,9.22,9.23
784936800,NaN,NaN,6.27,7,7.86,8.71,8.91,9.16,9.32,9.34
785023200,NaN,NaN,6.25,7.05999994,7.83,8.69,8.9,9.15,9.31,9.33
785109600,NaN,NaN,6.21,7.07000017,7.86,8.71,8.9,9.17,9.29,9.32
785455200,NaN,NaN,6.32,7.11999989,7.75,8.59,8.84,9.06,9.18,9.21
785541600,NaN,NaN,6.34,7.11000013,7.83,8.64,8.83,9.07,9.18,9.21
785628000,NaN,NaN,6.28,7.13000011,7.83,8.64,8.81,9.05,9.16,9.19
785714400,NaN,NaN,6.26,7.11999989,7.8,8.63,8.8,9.03,9.14,9.17
786060000,NaN,NaN,6.5,7.1500001,7.95,8.79,8.93,9.18,9.25,9.2
786146400,NaN,NaN,6.56,7.30000019,8.01,8.81,8.96,9.16,9.24,9.25
786232800,NaN,NaN,6.63,7.36000013,8.1,8.84,8.97,9.14,9.22,9.25
786319200,NaN,NaN,6.65,7.48999977,8.12,8.77,8.87,9.02,9.12,9.12
786664800,NaN,NaN,6.77,7.57000017,8.07,8.64,8.76,8.91,9.02,9.05
786751200,NaN,NaN,6.91,7.59000015,8.2,8.74,8.85,9.01,9.08,9.11
786837600,NaN,NaN,7.05,7.73000002,8.26,8.79,8.9,9.01,9.07,9.11
786924000,NaN,NaN,7.31,7.84000015,8.45,8.9,8.99,9.01,9.1,NaN
787269600,NaN,NaN,7.96,8.23999977,8.78,9.09,9.16,9.18,9.22,9.24
787356000,NaN,NaN,8,8.48999977,8.71,9.05,9.1,9.17,9.2,9.21
787442400,NaN,NaN,7.69,8.44999981,8.51,8.95,9.05,9.12,9.2,9.14
787528800,NaN,NaN,7.55,8.27000046,8.49,8.92,9,9.08,9.16,9.16
787874400,NaN,NaN,7.48,8.31999969,8.43,8.91,9,9.06,9.14,9.15
787960800,NaN,NaN,7.37,8.21000004,8.3,8.8,8.94,9,9.09,9.09
788047200,NaN,NaN,7.62,8.09000015,8.53,8.94,9.02,9.07,9.14,9.14
788133600,NaN,NaN,7.58,8.35000038,8.68,8.99,9.05,9.08,9.15,9.14
788652000,NaN,NaN,7.94,8.77000046,8.7,9,9.08,9.11,9.15,9.15
788738400,NaN,NaN,7.72,8.60999966,8.64,8.99,9.11,9.12,9.17,9.17
789170400,NaN,NaN,7.63,8.60999966,8.61,9.02,9.14,9.2,9.24,9.25
789256800,NaN,NaN,7.63,8.42000008,8.61,9.02,9.14,9.2,9.26,9.27
789343200,NaN,NaN,7.52,8.38000011,8.59,9.03,9.16,9.19,9.27,9.27
789688800,NaN,NaN,7.97,8.44999981,8.86,9.27,9.32,9.37,9.4,9.41
789775200,NaN,NaN,7.86,8.56000042,8.85,9.23,9.3,9.36,9.43,9.42
789861600,NaN,NaN,8.2,8.53999996,9.02,9.39,9.46,9.46,9.52,9.52
789948000,NaN,NaN,8,8.77999973,8.86,9.25,9.32,9.33,9.42,9.42
790293600,NaN,NaN,8.4,8.60999966,8.99,9.27,9.38,9.41,9.49,9.49
790380000,NaN,NaN,8.53,8.80000019,9.03,9.36,9.41,9.45,9.54,9.49
790466400,NaN,NaN,8.63,8.82999992,9.11,9.44,9.52,9.55,9.56,9.58
790552800,NaN,NaN,8.7,8.86999989,9.24,9.54,9.6,9.69,9.66,9.67
790898400,NaN,NaN,8.54,8.89000034,8.98,9.34,9.45,9.48,9.53,9.53
790984800,NaN,NaN,8.39,8.81999969,8.84,9.18,9.29,9.34,9.4,9.4
791071200,NaN,NaN,8.48,8.64999962,8.81,9.22,9.33,9.35,9.39,9.39
791157600,NaN,NaN,8.3,8.72000027,8.58,9.06,9.19,9.23,9.28,9.28
791503200,NaN,NaN,8.41,8.77000046,8.68,9.05,9.19,9.23,9.26,9.27
791589600,NaN,NaN,8.4,8.65999985,8.79,9.09,9.2,9.25,9.28,9.29
