time,GB01MY,GB03MY,GB06MY,GB01Y,GB02Y,GB05Y,GB07Y,GB10Y,GB20Y,GB30Y
759535200,5.73999977,5.38000011,5.25,5.19000006,5.06599998,5.70800018,NaN,6.23799992,6.54099989,6.46999979
759621600,NaN,5.38000011,NaN,5.19999981,5.07700014,5.7329998,NaN,6.32499981,6.61299992,6.55200005
759708000,NaN,5.38000011,5.19000006,5.17999983,5.06799984,5.71999979,NaN,6.2579999,6.5630002,6.50600004
759967200,NaN,5.40999985,5.25,5.11999989,5.08199978,5.70100021,NaN,6.21400023,6.5250001,6.46199989
760053600,NaN,5.40999985,5.21799994,5.17999983,5.09299994,5.71400023,NaN,6.27699995,6.57999992,6.5170002
760140000,NaN,5.34000015,5.25,5.19000006,5.125,5.74599981,NaN,6.29300022,6.60500002,6.54300022
760226400,NaN,5.38000011,5.17999983,5.19000006,5.11600018,5.8210001,NaN,6.375,6.68200016,6.62900019
760312800,5.375,5.38000011,5.3119998,5.30999994,5.15500021,5.86899996,NaN,6.42700005,6.71299982,6.66200018
760572000,5.38000011,5.38000011,5.30999994,5.30999994,5.32200003,5.98999977,NaN,6.51200008,6.77899981,6.72200012
760658400,5.05999994,5.36999989,5.05999994,5.05999994,5.0710001,5.9289999,NaN,6.55600023,6.82800007,6.76800013
760744800,5.11999989,5.1500001,5.11999989,5.11999989,5.06099987,5.95599985,NaN,6.58400011,6.84299994,6.78999996
760831200,5.09000015,5.17999983,5.09000015,5.09000015,5.07299995,5.99700022,NaN,6.60400009,6.85599995,6.80200005
760917600,5.17999983,5.11999989,5.11999989,5.11999989,5.09200001,5.98400021,NaN,6.57999992,6.84800005,6.80600023
761176800,NaN,5.0999999,5.17999983,5.17999983,5.12699986,6.00400019,NaN,6.5710001,6.84700012,6.80600023
761263200,NaN,5.11999989,5.11999989,5.11999989,5.11800003,6.0170002,NaN,6.58400011,6.85500002,6.8119998
761349600,NaN,5.05999994,5,5,5.08699989,5.97700024,NaN,6.54799986,6.829,6.78299999
761436000,NaN,5.05999994,5,5.05999994,5.03599977,5.9289999,NaN,6.53100014,6.8210001,6.77099991
761522400,NaN,5.05999994,5.05999994,5,5.04699993,6.03200006,NaN,6.66499996,6.90700006,6.86999989
761781600,5,5.05999994,5,4.94000006,5.0619998,6.06500006,NaN,6.78499985,7.0539999,7.00299978
761868000,NaN,5.05999994,5.05999994,5.11999989,5.13700008,6.17000008,NaN,6.78100014,7.04899979,6.99599981
761954400,NaN,5.11999989,5,5.05999994,5.12799978,6.2249999,NaN,6.77299976,7.05700016,7.01200008
762040800,NaN,5.17999983,5.25,5.25,5.2329998,6.55700016,NaN,7.08400011,7.3130002,7.27400017
762127200,NaN,5.13000011,5.0999999,5.19000006,5.18100023,6.41699982,NaN,6.99800014,7.24300003,7.17399979
762386400,NaN,5.0999999,5.05999994,5.11999989,5.11000013,6.31799984,NaN,6.91499996,7.13700008,7.08900023
762472800,NaN,5.09000015,5.05999994,5.1500001,5.16499996,6.45100021,NaN,7.11000013,7.30100012,7.24900007
762559200,NaN,5.11999989,5.05999994,5.11999989,5.17700005,6.48799992,NaN,7.10500002,7.27400017,7.24900007
762645600,NaN,5.05999994,5,5.0999999,5.16800022,6.50899982,NaN,7.14499998,7.29899979,7.28200006
762732000,NaN,5.05999994,5.05999994,5.19000006,5.13700008,6.43200016,NaN,7.01599979,7.32999992,7.24900007
762991200,NaN,5.05999994,5,5.11999989,5.13000011,6.33300018,NaN,6.91099977,7.24700022,7.11899996
763077600,NaN,5.05999994,5.05999994,5.05999994,5.12099981,6.38899994,NaN,7.03299999,7.22700024,7.24399996
763164000,NaN,5.09000015,5.05999994,5.11999989,5.15500021,6.46000004,NaN,7.06699991,7.25299978,7.24900007
763250400,NaN,5.05999994,5,5.0999999,5.14499998,6.46700001,NaN,7.05900002,7.25500011,7.23600006
763336800,NaN,5.09000015,5.05999994,5.21000004,5.20900011,6.65500021,NaN,7.24900007,7.23799992,7.41200018
763596000,NaN,5.09000015,5.05999994,5.11999989,5.20300007,6.59800005,NaN,7.19299984,7.38800001,7.37799978
763682400,NaN,5.11999989,5.11999989,5.17999983,5.171,6.46799994,NaN,7.0250001,7.2750001,7.27099991
763768800,NaN,5.11999989,5.05999994,5.17999983,5.27299976,6.63999987,NaN,7.19299984,7.4289999,7.42399979
763855200,NaN,5.05999994,NaN,5.1500001,5.21899986,6.66400003,NaN,7.26200008,7.47900009,7.46999979
763941600,NaN,5.11999989,5.05999994,5.25,5.23199987,6.75699997,NaN,7.36800003,7.57999992,7.56799984
764200800,NaN,NaN,5.17999983,5.19000006,5.24800014,6.72300005,NaN,7.38100004,7.60099983,7.59100008
764287200,NaN,NaN,5.1500001,5.25,NaN,6.6420002,NaN,7.28499985,7.51900005,7.51800013
764373600,NaN,5.11999989,5.05999994,5.25,NaN,6.74499989,NaN,7.39099979,7.60599995,7.61199999
764460000,NaN,5.17999983,5.17999983,5.36999989,5.50699997,7.02400017,NaN,7.66300011,7.61499977,7.829
764546400,NaN,5.30999994,5.25,5.5,5.61999989,7.20300007,NaN,7.81400013,7.9749999,7.9749999
764805600,NaN,5.30999994,5.25,5.5,5.59299994,7.16699982,NaN,7.72300005,7.87300014,7.87200022
764892000,NaN,5.25,5.25,5.61999989,5.69999981,7.31799984,NaN,7.81500006,7.86399984,7.95800018
764978400,NaN,5.30999994,5.36999989,5.67999983,5.71400023,7.20599985,NaN,7.62300014,7.78900003,7.8039999
765064800,NaN,5.25,5.42999983,5.61999989,5.72800016,7.08699989,NaN,7.49900007,7.69099998,7.70200014
765493200,5.17999983,5.36999989,5.44000006,5.75,5.78800011,7.19299984,NaN,7.53900003,7.67199993,7.77400017
765579600,5.11999989,5.36999989,5.38000011,5.61999989,5.65500021,7.1170001,NaN,7.49900007,7.7670002,7.71199989
765666000,5.05999994,5.25,5.30999994,5.61999989,5.66900015,7.13700008,NaN,7.53900003,7.72700024,7.73600006
765752400,5.0999999,5.25,5.38000011,5.5999999,5.71500015,7.19000006,NaN,7.6329999,7.81099987,7.81699991
766011600,NaN,5.36999989,5.30999994,5.61999989,5.6880002,7.13199997,NaN,7.52099991,7.81699991,7.71500015
766098000,NaN,5.17999983,5.30999994,5.61999989,5.6789999,7.13999987,NaN,7.55299997,7.72100019,7.7329998
766184400,NaN,5.13000011,5.32999992,5.5999999,5.63800001,7.14699984,NaN,7.6170001,7.78599977,7.79799986
766270800,NaN,5.17999983,5.19000006,5.53000021,5.65999985,7.15500021,NaN,7.61299992,7.78599977,7.80100012
766357200,NaN,5.11999989,5.19000006,5.44000006,5.61999989,7.11000013,NaN,7.49499989,7.79199982,7.65799999
766616400,NaN,5.09000015,5.19999981,5.5,5.64699984,7.39499998,NaN,7.76800013,7.875,7.88199997
766702800,NaN,5.1500001,5.25,5.5999999,5.63800001,7.46299982,NaN,7.73600006,7.86600018,7.86800003
766789200,NaN,5.17999983,5.30999994,5.6500001,5.77299976,7.50899982,NaN,7.73999977,7.93599987,7.94000006
766875600,5.11999989,5.25,5.36999989,5.75,5.84499979,7.47800016,NaN,7.77699995,7.87799978,7.87099981
766962000,NaN,5.61999989,5.36999989,5.67999983,5.88399982,7.44999981,NaN,7.68599987,7.86899996,7.78100014
767221200,NaN,5.17999983,5.36999989,5.75,5.83300018,7.61199999,NaN,7.829,7.90600014,7.89599991
767307600,NaN,5.17999983,5.30999994,5.69000006,5.82399988,7.53499985,NaN,7.75600004,7.91300011,7.83500004
767394000,NaN,5.1500001,5.30999994,5.75,5.78999996,7.4920001,NaN,7.76499987,7.82499981,7.81599998
767480400,NaN,5.30999994,5.25,5.69000006,5.80600023,7.53599977,NaN,7.8670001,7.91300011,7.90399981
767566800,5.05999994,5.17999983,5.34000015,5.78000021,5.8210001,7.49300003,NaN,7.83900023,7.91599989,7.87599993
767912400,5,5.13000011,5.30000019,5.75,5.85900021,7.63899994,NaN,8.06000042,7.88800001,8.06599998
767998800,5,5.25,5.30999994,5.75,5.90799999,7.82399988,NaN,8.20800018,8.24199963,8.20899963
768085200,5.05999994,5.19000006,5.38000011,5.80999994,5.87400007,7.76300001,NaN,8.125,8.16699982,8.14900017
768171600,5.05999994,5.25,5.38000011,5.80999994,5.91499996,7.85500002,NaN,8.24100018,8.28600025,8.2670002
768430800,NaN,5.17999983,5.38000011,5.80999994,5.96099997,7.95499992,NaN,8.29599953,8.32199955,8.30500031
768517200,NaN,5.11999989,NaN,5.88000011,5.92700005,7.89300013,NaN,8.24800014,8.28199959,8.2670002
768603600,NaN,5.1500001,5.30999994,5.75,5.8670001,7.81699991,NaN,8.21399975,8.27600002,8.26099968
768690000,NaN,5.11999989,5.25,5.69000006,5.80600023,7.77099991,NaN,8.17199993,8.22299957,8.20899963
768776400,NaN,5.05999994,5.19000006,5.75,5.73699999,7.63399982,NaN,8.02400017,8.08899975,8.07400036
769035600,NaN,5.11999989,5.25,5.69000006,5.70800018,7.62900019,NaN,8.0340004,8.10099983,8.0880003
769122000,NaN,5.09000015,5.25,5.75,NaN,7.59000015,NaN,7.97599983,8.06599998,8.05099964
769208400,NaN,5.11999989,5.30999994,5.80999994,NaN,7.55900002,NaN,7.92500019,8.0010004,7.98899984
769294800,NaN,5.11999989,5.25,5.69000006,6.79400015,7.42999983,NaN,7.81400013,7.88999987,7.87799978
769381200,NaN,5.09000015,5.25,5.61999989,6.77799988,7.40199995,NaN,7.77199984,7.83699989,7.82000017
769640400,5.05999994,5.17999983,5.36999989,5.80999994,6.82399988,7.52600002,NaN,7.90199995,7.91900015,7.90500021
769726800,4.94000006,5.05999994,5.25,5.67999983,6.94000006,7.66400003,NaN,8.10200024,8.12100029,8.10200024
769813200,4.94000006,5.11999989,5.25,5.80999994,7.01399994,7.796,NaN,8.27499962,8.29199982,8.27000046
769899600,4.9000001,5.11999989,5.30999994,5.88000011,7.04099989,7.82999992,NaN,8.26200008,8.31900024,8.29899979
769986000,4.94000006,5.13000011,5.30999994,5.80999994,7.1329999,7.96299982,NaN,8.3920002,8.44099998,8.42099953
770331600,4.94000006,5.11999989,5.36999989,5.94000006,7.35099983,8.21199989,NaN,8.63599968,8.65999985,8.63799953
770418000,NaN,5.11999989,5.4000001,5.94000006,7.56699991,8.46199989,NaN,8.80900002,8.7869997,8.77000046
770504400,NaN,5.19000006,5.5,6.11999989,7.42399979,8.23700047,NaN,8.50199986,8.46500015,8.44799995
770590800,NaN,5.11999989,5.25,5.86999989,7.15100002,7.94399977,NaN,8.28100014,8.2489996,8.22599983
770850000,NaN,5.11999989,5.28000021,5.88000011,7.16800022,7.93900013,NaN,8.33600044,8.29899979,8.2670002
770936400,NaN,5.11999989,5.30999994,5.9000001,7.24800014,8.13799953,NaN,8.50800037,8.46899986,8.43299961
771022800,NaN,5.11999989,5.30999994,5.88000011,7.1880002,8.02999973,NaN,8.33699989,8.33300018,8.30200005
771109200,NaN,5.11999989,5.30999994,5.92999983,7.22900009,8.07600021,NaN,8.41100025,8.41699982,8.38500023
771195600,4.88000011,5.05999994,5.25,5.9000001,7.21299982,8.04699993,NaN,8.37199974,8.39299965,8.36100006
771454800,NaN,5.11999989,5.30999994,5.88000011,7.32800007,8.24100018,NaN,8.57999992,8.57600021,8.53899956
771541200,NaN,5.05999994,5.30999994,5.94000006,7.3119998,8.24199963,NaN,8.54100037,8.51299953,8.48499966
771627600,NaN,5.05999994,5.25,5.86999989,7.14099979,8.10000038,NaN,8.47599983,8.46500015,8.43000031
771714000,NaN,5.05999994,5.30999994,5.94000006,7.2750001,8.24400043,NaN,8.6260004,8.55500031,8.52700043
771800400,NaN,5.05999994,5.25,5.9000001,7.27199984,8.24499989,NaN,8.64099979,8.52700043,8.49699974
772059600,NaN,5.11999989,5.36999989,6.11999989,7.39300013,8.47399998,NaN,8.81499958,8.62899971,8.59799957
772146000,NaN,5.09000015,5.30999994,6.11999989,7.45699978,8.53999996,NaN,8.89799976,8.73400021,8.70400047
772232400,NaN,5.11999989,5.38000011,6.05999994,7.28900003,8.3380003,NaN,8.63300037,8.52700043,8.51500034
772318800,NaN,5.36999989,5.38000011,6.03000021,7.2420001,8.21800041,NaN,8.53800011,8.44799995,8.43599987
