time,JP01MY,JP03MY,JP06MY,JP01Y,JP02Y,JP05Y,JP07Y,JP10Y,JP20Y,JP30Y
1153342800,,NaN,0.375,0.61000001,NaN,NaN,NaN,1.82700002,2.25600004,NaN
1153429200,,NaN,0.36500001,0.61000001,0.79400003,NaN,NaN,1.83200002,2.273,NaN
1153688400,,NaN,0.37,0.62,0.824,NaN,NaN,1.86899996,2.29900002,NaN
1153774800,,NaN,0.37,0.625,0.84899998,NaN,NaN,1.88800001,2.30800009,NaN
1153861200,,NaN,0.37,0.62,0.83899999,1.403,NaN,1.87399995,2.29500008,NaN
1153947600,,NaN,0.37,0.61500001,0.829,1.403,NaN,1.88800001,2.30800009,2.52800012
1154034000,,NaN,0.37,0.61400002,0.83399999,1.43700004,NaN,1.93900001,2.35100007,2.56800008
1154293200,,NaN,0.37,0.61500001,0.83899999,1.43700004,NaN,1.93900001,2.35500002,2.58800006
1154379600,,NaN,0.37,0.61400002,0.85399997,1.44200003,NaN,1.92999995,2.34599996,2.56800008
1154466000,,NaN,0.37,0.61400002,0.84399998,1.40799999,NaN,1.89699996,2.29900002,2.52800012
1154552400,,NaN,0.375,0.60399997,0.829,1.39400005,NaN,1.87800002,2.28200006,2.50300002
1154638800,,NaN,0.42500001,0.60500002,0.83399999,1.403,NaN,1.88300002,2.28200006,2.49900007
1154898000,,NaN,0.405,0.58899999,0.80900002,1.35899997,NaN,1.84599996,2.23900008,2.45799994
1154984400,,NaN,0.41999999,0.58899999,0.81900001,1.37899995,NaN,1.84599996,2.24300003,2.454
1155070800,,NaN,0.41999999,0.58899999,0.829,1.398,NaN,1.86800003,2.25200009,2.47099996
1155157200,,NaN,0.42500001,0.60000002,0.84399998,1.43700004,NaN,1.90600002,2.29900002,2.50699997
1155243600,,NaN,0.42500001,0.58499998,0.81400001,1.38399994,NaN,1.85500002,2.2650001,2.4749999
1155502800,,NaN,0.41999999,0.59399998,0.83399999,1.41799998,NaN,1.89199996,2.29900002,2.50300002
1155589200,,NaN,0.41999999,0.59399998,0.83399999,1.40799999,NaN,1.86899996,2.273,2.47900009
1155675600,,NaN,0.41,0.579,0.80900002,1.37899995,NaN,1.84599996,2.25200009,2.4749999
1155762000,,NaN,0.41,0.579,0.80400002,1.36399996,NaN,1.83200002,2.2349999,2.454
1155848400,,NaN,0.41499999,0.57800001,0.80900002,1.38900006,NaN,1.86399996,2.27800012,2.49900007
1156107600,,NaN,0.41499999,0.56400001,0.78399998,1.34500003,NaN,1.82700002,2.24799991,2.47099996
1156194000,,NaN,0.41,0.54900002,0.764,1.32500005,NaN,1.81299996,2.2349999,2.46700001
1156280400,,NaN,0.41,0.55400002,0.76899999,1.33500004,NaN,1.81299996,2.23000002,2.46199989
1156366800,,NaN,0.41,0.55400002,0.77399999,1.33000004,NaN,1.81299996,2.22199988,2.43400002
1156453200,,NaN,0.38,0.45699999,0.68099999,1.22500002,NaN,1.73599994,2.14700007,2.40100002
