time,US01MY,US03MY,US06MY,US01Y,US02Y,US05Y,US07Y,US10Y,US20Y,US30Y
-1817085600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.52,NaN,NaN
-1809223200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.49,NaN,NaN
-1801360800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.51,NaN,NaN
-1793498400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.51,NaN,NaN
-1785636000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,NaN
-1777773600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.66,NaN,NaN
-1769911200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.58,NaN,NaN
-1762048800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.55,NaN,NaN
-1754186400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.54,NaN,NaN
-1746237600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.63,NaN,NaN
-1738375200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.63,NaN,NaN
-1730599200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN
-1722650400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN
-1714701600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.58,NaN,NaN
-1706839200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.61,NaN,NaN
-1698976800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.62,NaN,NaN
-1691028000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.63,NaN,NaN
-1683079200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.57,NaN,NaN
-1675216800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.61,NaN,NaN
-1667440800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.63,NaN,NaN
-1659492000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.61,NaN,NaN
-1651284000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,NaN,NaN
-1643508000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84,NaN,NaN
-1635904800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.83,NaN,NaN
-1627786800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.83,NaN,NaN
-1619924400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN
-1612058400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,NaN
-1604196000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,NaN,NaN
-1596337200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.63,NaN,NaN
-1588474800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9,NaN,NaN
-1580608800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9,NaN,NaN
-1572746400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.93,NaN,NaN
-1564801200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.93,NaN,NaN
-1556852400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.67,NaN,NaN
-1548986400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4,NaN,NaN
-1541210400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.23,NaN,NaN
-1533265200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.28,NaN,NaN
-1525316400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.47,NaN,NaN
-1517450400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.47,NaN,NaN
-1509674400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.45,NaN,NaN
-1501729200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,NaN,NaN
-1493780400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.12,NaN,NaN
-1485914400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.32,NaN,NaN
-1478138400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.32,NaN,NaN
-1470193200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.32,NaN,NaN
-1462071600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4,NaN,NaN
-1454205600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.35,NaN,NaN
-1446343200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3,NaN,NaN
-1438484400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3,NaN,NaN
-1430622000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.87,NaN,NaN
-1422756000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.96,NaN,NaN
-1420077600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.96,NaN,NaN
-1417312800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.95,NaN,NaN
-1414893600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.96,NaN,NaN
-1412301600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.93,NaN,NaN
-1409713200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.87,NaN,NaN
-1407034800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.79,NaN,NaN
-1404442800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.79,NaN,NaN
-1401591600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.85,NaN,NaN
-1399086000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.85,NaN,NaN
-1396490400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.82,NaN,NaN
-1393725600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.79,NaN,NaN
-1391220000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8,NaN,NaN
-1388541600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.77,NaN,NaN
-1385863200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.71,NaN,NaN
-1383444000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.71,NaN,NaN
-1380765600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7,NaN,NaN
-1378004400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.67,NaN,NaN
-1375498800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.67,NaN,NaN
-1372906800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.68,NaN,NaN
-1370142000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7,NaN,NaN
-1367550000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7,NaN,NaN
-1364954400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.68,NaN,NaN
-1362276000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.62,NaN,NaN
-1359684000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.56,NaN,NaN
-1356832800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.51,NaN,NaN
-1354327200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.48,NaN,NaN
-1351908000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.37,NaN,NaN
-1349229600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35,NaN,NaN
-1346554800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.31,NaN,NaN
-1343962800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.34,NaN,NaN
-1341370800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.36,NaN,NaN
-1338692400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.32,NaN,NaN
-1336014000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,NaN,NaN
-1333245600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.29,NaN,NaN
-1330740000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.23,NaN,NaN
-1328148000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.17,NaN,NaN
-1325383200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.18,NaN,NaN
-1322791200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.19,NaN,NaN
-1320285600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.17,NaN,NaN
-1317520800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,NaN,NaN
-1315018800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.24,NaN,NaN
-1312340400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.29,NaN,NaN
-1309662000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.42,NaN,NaN
-1307070000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.48,NaN,NaN
-1304218800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.46,NaN,NaN
-1301796000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.47,NaN,NaN
-1299117600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.38,NaN,NaN
-1296352800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.45,NaN,NaN
-1293847200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.52,NaN,NaN
-1291168800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.62,NaN,NaN
-1288749600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.74,NaN,NaN
-1286071200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN
-1283482800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN
-1280631600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.69,NaN,NaN
-1278212400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN
-1275534000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.71,NaN,NaN
-1272769200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7,NaN,NaN
-1270260000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.61,NaN,NaN
-1267581600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35,NaN,NaN
-1264903200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.36,NaN,NaN
-1262311200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.43,NaN,NaN
-1259460000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.41,NaN,NaN
-1257040800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.29,NaN,NaN
-1254535200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.37,NaN,NaN
-1251946800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.31,NaN,NaN
-1249182000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN
-1246676400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN
-1243998000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.26,NaN,NaN
-1241319600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.24,NaN,NaN
-1238724000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.21,NaN,NaN
-1235872800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.19,NaN,NaN
-1233453600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.22,NaN,NaN
-1230775200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,NaN,NaN
-1228010400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,NaN,NaN
-1225591200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.27,NaN,NaN
-1222999200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.26,NaN,NaN
-1220410800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.16,NaN,NaN
-1217732400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.13,NaN,NaN
-1215140400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.15,NaN,NaN
-1212289200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.18,NaN,NaN
-1209783600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.25,NaN,NaN
-1207188000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.63,NaN,NaN
-1204423200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.63,NaN,NaN
-1201917600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.93,NaN,NaN
-1199239200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.26,NaN,NaN
-1196560800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.11,NaN,NaN
-1194055200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.92,NaN,NaN
