"time","01M","03M","06M","01Y","02Y","05Y","07Y","10Y","20Y","30Y"
"2007-02-01",4.16,4.17,4.19,4.22,4.13,4.118,4.152,4.199,4.277,4.236
"2007-02-04",4.14,4.16,4.2,4.22,4.116,4.103,4.14,4.184,4.263,4.224
"2007-02-05",4.15,4.16,4.19,4.2,4.104,4.087,4.12,4.163,4.247,4.207
"2007-02-06",4.14,4.16,4.18,4.19,4.078,4.049,4.08,4.128,4.213,4.175
"2007-02-07",4.15,4.17,4.19,4.19,4.063,4.035,4.064,4.113,4.198,4.161
"2007-02-08",4.15,4.16,4.19,4.2,4.059,4.028,4.057,4.107,4.195,4.159
"2007-02-11",4.15,4.18,4.21,4.24,4.12,4.09,4.118,4.165,4.243,4.207
"2007-02-12",4.15,4.18,4.21,4.24,4.14,4.121,4.151,4.198,4.274,4.238
"2007-02-13",4.15,4.17,4.2,4.21,4.155,4.139,4.173,4.218,4.297,4.26
"2007-02-14",4.15,4.16553342703432,4.19,4.2,4.093,4.066,4.099,4.145,4.228,4.19
"2007-02-15",4.16,4.17,4.21,4.2,4.075,4.039,4.07,4.116,4.201,4.163
"2007-02-18",4.17,4.18,4.21,4.23,4.072,4.029,4.062,4.104,4.195,4.147
"2007-02-19",4.17,4.18,4.19,4.23,4.066,4.024,4.054,4.096,4.181,4.143
"2007-02-20",4.17,4.18,4.2,4.23,4.06,4.01,4.034,4.077,4.165,4.125
"2007-02-21",4.23,4.19,4.21,4.26,4.092,4.035,4.057,4.099,4.182,4.141
"2007-02-22",4.22,4.19544313127793,4.22,4.24,4.121,4.075,4.096,4.137,4.219,4.176
"2007-02-25",4.22,4.19,4.22,4.23,4.088,4.048,4.063,4.104,4.192,4.149
"2007-02-26",4.2,4.18,4.18,4.16,4.055,3.997,4.019,4.058,4.146,4.104
"2007-02-27",4.2,4.19,4.19,4.18,3.942,3.904,3.934,3.984,4.085,4.05
"2007-02-28",4.2,4.19459114942001,4.17,4.15,3.986,3.951,3.982,4.031,4.134,4.093
"2007-03-01",4.19,4.19,4.16,4.12,3.97,3.942,3.974,4.027,4.129,4.096
"2007-03-04",4.19,4.18,4.13,4.08,3.918,3.902,3.929,4.002,4.109,4.082
"2007-03-05",4.19,4.17,4.15,4.1,3.897,3.885,3.927,3.985,4.098,4.074
"2007-03-06",4.18,4.18,4.16,4.09,3.93,3.907,3.942,4,4.108,4.081
"2007-03-07",4.1,4.17,4.17,4.1,3.878,3.853,3.892,3.951,4.065,4.041
"2007-03-08",4.11,4.17,4.17,4.12,3.901,3.881,3.921,3.979,4.088,4.063
"2007-03-11",4.1,4.18,4.18,4.15,3.991,3.964,3.994,4.048,4.145,4.115
"2007-03-12",4.1,4.16,4.16,4.11,3.972,3.943,3.976,4.031,4.131,4.104
"2007-03-13",4.1,4.15,4.16,4.09,3.902,3.885,3.918,3.983,4.101,4.077
"2007-03-14",4.09,4.16,4.17,4.12,3.937,3.926,3.964,4.028,4.135,4.113
"2007-03-15",4.09,4.16,4.17,4.11,3.93,3.917,3.953,4.019,4.135,4.108
"2007-03-18",4.09,4.16,4.18,4.14,3.942,3.932,3.961,4.033,4.14,4.121
"2007-03-19",4.09,4.16,4.18,4.14,3.978,3.963,3.999,4.063,4.177,4.15
"2007-03-20",4.09,4.17,4.18,4.15,4.024,3.992,4.024,4.085,4.187,4.166
"2007-03-21",4.14,4.17,4.2,4.16,3.987,3.967,4.011,4.074,4.206,4.177
"2007-03-22",4.14,4.16,4.2,4.19,3.964,4.005,4.036,4.112,4.222,4.207
"2007-03-25",4.14,4.17,4.17,4.17,3.969,4.008,4.043,4.112,4.226,4.207
"2007-03-26",4.15,4.16,4.19,4.19,3.974,4.008,4.043,4.115,4.231,4.212
"2007-03-27",4.15,4.16,4.18,4.17,3.97,3.994,4.028,4.097,4.213,4.196
"2007-03-28",4.14,4.16,4.18,4.18,3.966,3.994,4.032,4.103,4.224,4.209
"2007-03-29",4.13,4.17,4.19,4.18,3.981,4.011,4.052,4.117,4.227,4.214
"2007-04-01",4.12,4.16,4.19,4.19,3.981,4.016,4.047,4.112,4.221,4.201
"2007-04-02",4.1,4.16,4.19,4.23,3.986,4.011,4.054,4.106,4.228,4.203
"2007-04-03",4.08,4.16,4.19,4.19,4.002,4.011,4.077,4.106,4.242,4.222
"2007-04-04",4.06,4.16,4.2,4.21,3.978,4.014,4.044,4.111,4.211,4.187
"2007-04-05",4.06624736166513,4.16522085436334,4.18905875471103,4.05094486178408,4.02723604095174,4.01680608647347,4.06580271094685,4.11150590909718,4.21927421867686,4.17822875531007
"2007-04-08",4.08,4.17,4.19,4,4.092,4.055,4.119,4.143,4.255,4.208
"2007-04-09",4.08,4.17,4.22,4.25,4.092,4.121,4.14,4.201,4.27,4.241
"2007-04-10",4.08,4.17,4.21,4.24,4.083,4.094,4.124,4.17,4.248,4.222
"2007-04-11",4.07,4.16,4.23,4.25,4.099,4.112,4.128,4.189,4.259,4.23
"2007-04-12",4.07,4.16,4.23,4.27,4.1,4.12,4.146,4.193,4.266,4.236
"2007-04-15",4.08,4.17,4.24,4.29,4.135,4.157,4.17,4.22,4.289,4.257
"2007-04-16",4.08,4.16,4.22,4.28,4.136,4.15,4.167,4.224,4.285,4.254
"2007-04-17",4.09,4.16,4.23,4.28,4.126,4.114,4.135,4.18,4.251,4.22
"2007-04-18",4.13,4.16,4.23,4.29,4.123,4.117,4.138,4.176,4.259,4.227
"2007-04-19",4.11,4.16,4.24,4.29,4.123,4.12,4.139,4.189,4.26,4.228
